location,rooms,total_listings,latitude,longitude
La falaise (78410),4 chambres,1,48.9573567,1.8740024
La ferte sous jouarre (77260),55 chambres,2,48.9736141,3.1116932
La ferte-sous-jouarre (77260),4 chambres2 chambres3 chambres1 chambre,4,48.9736141,3.1116932
La ferté-gaucher (77320),"3 chambres,Type  cuisine : Cuisine équipée4 chambres",2,48.7727993,3.2982261
La ferté-sous-jouarre (77260),"3 chambres3 chambres4 chambres3 chambres2 chambres,Type  cuisine : Cuisine indépendante",6,48.9736141,3.1116932
La garenne colombes (92250),1 chambre,1,48.90727,2.2458775
La grande-paroisse (77130),6,1,48.3670139,3.042987
La queue-en-brie (94510),6,1,48.776918,2.5757688
La rochette (77000),1 chambre,1,48.523948,2.6888745
La ville-du-bois (91620),"2 chambres1 chambre,Type  cuisine : Cuisine américaine,1 salle d'eau1 chambre",3,48.6593344,2.2488811
Lagny-sur-marne (77400),"3 chambres,Type  cuisine : Cuisine américaine4 chambres3 chambres4 chambres,Type  cuisine : Cuisine séparée équipée",4,48.8804099,2.6912817
Lardy (91510),3 chambres4 chambres,2,48.5107746,2.2504618
Le blanc mesnil (93150),1 chambre1 chambre,2,48.9371479,2.4694978
Le bourget (93350),"2 chambres,1 salle d'eau1 chambre,1 salle de bain",2,48.9379976,2.4253387
Le chesnay (78150),"2 chambres,Type  cuisine : Cuisine indépendante1 chambre1 chambre3 chambres",4,48.8284137,2.1302359
Le chesnay rocquencourt (78150),3 chambres,1,48.8284137,2.1302359
Le kremlin bicetre (94270),3 chambres2 chambres,2,48.8087926,2.3580015
Le mee-sur-seine (77350),3,1,48.5345121,2.6048627
Le mée-sur-seine (77350),"4 chambres,Type  cuisine : Cuisine indépendante3 chambres",2,48.5345121,2.6048627
Le pecq (78230),3 chambres1 chambre2 chambres4 chambres,4,48.8921071,2.1087515
Le perray-en-yvelines (78610),5 chambres,1,48.7148328,1.7843004
Le perreux sur marne (94170),343 chambres3 chambres4 chambres4 chambres3 chambres4 chambres,8,48.8430979,2.5025225
Le perreux-sur-marne (94170),72 chambres,2,48.8430979,2.5025225
Le plessis robinson (92350),"3 chambres,1 salle de bain,2 toilettes séparées3 chambres",2,48.7814967,2.2626499
Le plessis-trévise (94420),2,1,48.808276,2.5748159
Le port-marly (78560),3 chambres,1,48.8807673,2.1109889
Le pre-saint-gervais (93310),2 chambres1 chambre,2,48.8841319,2.4056715
Le thillay (95500),"5 chambres,1 salle de bain,1 salle d'eau",1,48.9856716,2.464968
Les clayes sous bois (78340),"3 chambres,1 salle de bain,1 salle d'eau",1,48.8168287,1.9847828
Les lilas (93260),1 chambre4 chambres,2,48.8820573,2.4200591
Les pavillons sous bois (93320),4 chambres,1,48.9071223,2.5055225
Les ulis (91940),"4 chambres,Type  cuisine : Cuisine séparée équipée4 chambres",2,48.6753761,2.1662042
Leuville-sur-orge (91310),"4 chambres3 chambres,Type  cuisine : Cuisine équipée,1 salle d'eau3 chambres,Type  cuisine : Cuisine indépendante,1 salle de bain,1 salle d'eau4 chambres,Type  cuisine : Cuisine américaine,1 salle de bain,1 salle d'eau,Cheminée",4,48.6318506,2.2683684
Levallois perret (92300),2 chambres1 chambre2 chambres2 chambres2 chambres2 chambres4 chambres,8,48.8946047,2.2890155
Levallois-perret (92300),1 chambre2 chambres,2,48.8946047,2.2890155
Lieusaint (77127),"3 chambres,Type  cuisine : Cuisine séparée équipée",2,48.6278394,2.5436072
Limay (78520),"2 chambres,1 salle de bain4 chambres2 chambres1 chambre1 chambre",5,49.0115323,1.6780601
Limeil brevannes (94450),1 chambre2 chambres,2,48.7463397,2.4875113
Limours (91470),"6 chambres,Type  cuisine : Cuisine séparée équipée",1,48.6324069,2.0778663
